prime,length,reciprocal
4973,226,0.00020108586366378444
4987,2493,0.00020052135552436334
4993,1664,0.0002002803925495694
4999,357,0.00020004000800160032
5003,2501,0.0001998800719568259
5009,626,0.00019964064683569574
5011,1670,0.00019956096587507485
5021,5020,0.00019916351324437363
5023,1674,0.00019908421262193908
5039,2519,0.00019845207382417147
5051,50,0.00019798059790140566
5059,5058,0.000197667523225934
5077,2538,0.00019696671262556627
5081,1270,0.000196811651249754
5087,5086,0.00019657951641438963
5099,5098,0.00019611688566385565
5101,1700,0.00019603999215840032
5107,2553,0.00019580967299784609
5113,1704,0.00019557989438685703
5119,853,0.0001953506544246923
5147,2573,0.00019428793471925395
5153,5152,0.00019406171162429653
5167,5166,0.00019353590090961874
5171,110,0.00019338619222587506
5179,5178,0.00019308746862328635
5189,5188,0.0001927153594141453
5197,433,0.00019241870309794111
5209,372,0.0001919754271453254
5227,2613,0.0001913143294432753
5231,2615,0.00019116803670426305
5233,5232,0.00019109497420217848
5237,77,0.00019094901661256445
5261,1052,0.00019007793195210037
5273,5272,0.00018964536317087047
5279,2639,0.00018942981625307822
5281,2640,0.0001893580761219466
5297,5296,0.00018878610534264677
5303,5302,0.00018857250612860644
5309,5308,0.00018835938971557733
5323,2661,0.00018786398647379298
5333,1333,0.00018751171948246765
5347,2673,0.0001870207593042828
5351,2675,0.00018688095683049897
5381,5380,0.00018583906337112061
5387,2693,0.00018563207722294413
5393,5392,0.00018542555164101615
5399,2699,0.00018521948508983145
5407,1802,0.000184945441094877
5413,2706,0.00018474043968224645
5417,5416,0.00018460402436773122
5419,5418,0.00018453589223103894
5431,2715,0.00018412815319462345
5437,1359,0.0001839249586168843
5441,2720,0.0001837897445322551
5443,907,0.00018372221201543268
5449,2724,0.00018351991191044228
5471,547,0.00018278194114421494
5477,1369,0.00018258170531312764
5479,2739,0.0001825150574922431
5483,2741,0.0001823819077147547
5501,5500,0.00018178512997636792
5503,5502,0.00018171906232963838
5507,2753,0.00018158707100054475
5519,2759,0.0001811922449719152
5521,345,0.00018112660749864155
5527,5526,0.0001809299800977022
5531,5530,0.0001807991321641656
5557,926,0.00017995321216483713
5563,2781,0.00017975912277548085
5569,1392,0.0001795654516071108
5573,2786,0.00017943656917279743
5581,5580,0.00017917935853789643
5591,2795,0.00017885888034340904
5623,5622,0.00017784101013693757
5639,2819,0.00017733640716439085
5641,470,0.0001772735330615139
5647,1882,0.00017708517797060386
5651,5650,0.00017695983011856308
5653,2826,0.0001768972227136034
5657,5656,0.00017677214071062401
5659,5658,0.00017670966601873123
5669,5668,0.0001763979537837361
5683,2841,0.00017596339961288053
5689,316,0.00017577781683951485
5693,1423,0.0001756543123133673
5701,5700,0.00017540782318891423
5711,571,0.0001751006828926633
5717,1429,0.00017491691446562882
5737,5736,0.0001743071291615827
5741,5740,0.00017418568193694478
5743,5742,0.00017412502176562773
5749,5748,0.00017394329448599757
5779,5778,0.00017304031839418584
5783,5782,0.00017292062943109114
5791,965,0.0001726817475392851
5801,1450,0.00017238407171177384
5807,5806,0.00017220595832615808
5813,2906,0.0001720282126268708
5821,5820,0.00017179178835251675
5827,2913,0.00017161489617298782
5839,2919,0.00017126220243192326
5843,2921,0.00017114495978093444
5849,1462,0.00017096939647803043
5851,1950,0.00017091095539224064
5857,5856,0.00017073587160662456
5861,5860,0.00017061934823408976
5867,2933,0.0001704448610874382
5869,5868,0.0001703867779860283
5879,2939,0.00017009695526450075
5881,2940,0.00017003910899506886
5897,5896,0.00016957775139901646
5903,5902,0.0001694053870913095
5923,2961,0.00016883336147222692
5927,5926,0.00016871941960519654
5939,5938,0.00016837851490149856
5953,1984,0.00016798252981689904
5981,5980,0.00016719612104999163
5987,2993,0.00016702856188408218
6007,858,0.000166472448809722
6011,6010,0.00016636167027116953
6029,6028,0.0001658649859014762
6037,3018,0.00016564518800728838
6043,3021,0.00016548072149594572
6047,6046,0.000165371258475277
6053,3026,0.00016520733520568312
6067,3033,0.00016482610845557937
6073,6072,0.00016466326362588507
6079,1013,0.00016450074025333114
6089,761,0.00016423057973394647
6091,2030,0.00016417665407978985
6101,1220,0.00016390755613833797
6113,6112,0.0001635858007524947
6121,3060,0.00016337199803953602
6131,6130,0.00016310552927744252
6133,1533,0.00016305233980107615
6143,6142,0.00016278691193228064
6151,1025,0.00016257519102584944
6163,79,0.00016225864027259452
6173,3086,0.00016199578810950914
6197,3098,0.00016136840406648378
6199,3099,0.00016131634134537829
6203,443,0.00016121231662098983
6211,6210,0.00016100466913540493
6217,6216,0.00016084928422068523
6221,6220,0.00016074586079408456
6229,2076,0.00016053941242575052
6247,6246,0.00016007683688170322
6257,6256,0.000159821000479463
6263,6262,0.0001596678907871627
6269,6268,0.0001595150741745095
6271,1045,0.00015946420028703555
6277,1569,0.00015931177314003505
6287,6286,0.0001590583744234134
6299,94,0.00015875535799333228
6301,6300,0.00015870496746548166
6311,3155,0.00015845349389954048
6317,3158,0.00015830299192654741
6323,3161,0.00015815277558121145
6329,3164,0.00015800284405119292
6337,6336,0.00015780337699226762
6343,6342,0.00015765410688948448
6353,6352,0.00015740594994490792
6359,3179,0.00015725743041358704
6361,1590,0.00015720798616569723
6367,6366,0.00015705983979896342
6373,1062,0.00015691197238349287
6379,2126,0.00015676438313215238
6389,6388,0.00015651901706057285
6397,78,0.0001563232765358762
6421,2140,0.0001557389814670612
6427,1071,0.00015559358954411078
6449,1612,0.00015506280043417584
6451,2150,0.0001550147263990079
6469,924,0.0001545833977430824
6473,6472,0.0001544878727019929
6481,270,0.00015429717636167257
6491,1298,0.00015405946695424435
6521,815,0.00015335071308081582
6529,1088,0.00015316281206922958
6547,1091,0.0001527417137620284
6551,3275,0.00015264845061822624
6553,6552,0.00015260186174271325
6563,3281,0.00015236934328813042
6569,1642,0.00015223017202009437
6571,6570,0.00015218383807639628
6577,2192,0.0001520450053215752
6581,1316,0.000151952590791673
6599,3299,0.00015153811183512653
6607,2202,0.00015135462388375965
6619,6618,0.00015108022359873092
6637,474,0.00015067048365225252
6653,3326,0.00015030813166992335
6659,6658,0.0001501726986033939
6661,6660,0.00015012760846719713
6673,6672,0.0001498576352465158
6679,3339,0.00014972301242701004
6689,1672,0.00014949917775452235
6691,6690,0.00014945449110745777
6701,6700,0.00014923145799134458
6703,6702,0.0001491869312248247
6709,6708,0.00014905351021016544
6719,3359,0.0001488316713796696
6733,3366,0.0001485222040695084
6737,6736,0.00014843402107763098
6761,1690,0.00014790711433219938
